Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-11T12:20:42-0700, -10 ft, 4.8118
2023-09-11T12:20:42-0700, -13 ft, 4.8398
2023-09-11T12:20:42-0700, -16 ft, 4.7274
2023-09-11T12:20:42-0700, -20 ft, 4.5901
2023-09-11T12:20:42-0700, -23 ft, 4.4197
2023-09-11T12:20:42-0700, -26 ft, 4.2585
2023-09-11T12:20:42-0700, -30 ft, 4.1219
2023-09-12T00:20:55-0700, -33 ft, 4.1095
2023-09-12T00:20:55-0700, -36 ft, 4.0097
2023-09-12T00:20:55-0700, -39 ft, 3.9075
2023-09-12T00:20:55-0700, -43 ft, 3.8214
2023-09-12T00:20:55-0700, -46 ft, 3.7464
2023-09-12T00:20:55-0700, -49 ft, 3.6719
2023-09-12T00:20:55-0700, -52 ft, 3.5941
2023-09-12T00:20:55-0700, -56 ft, 3.5013
2023-09-12T00:20:55-0700, -59 ft, 3.409
2023-09-12T00:20:55-0700, -62 ft, 3.3455
2023-09-12T00:20:55-0700, -3 ft, 4.728
2023-09-12T00:20:55-0700, -66 ft, 3.3097
2023-09-12T00:20:55-0700, -69 ft, 3.2866
2023-09-12T00:20:55-0700, -72 ft, 3.2548
2023-09-12T00:20:55-0700, -75 ft, 3.1969
2023-09-12T00:20:55-0700, -79 ft, 3.1342
2023-09-12T00:20:55-0700, -82 ft, 3.0693
2023-09-12T00:20:55-0700, -85 ft, 2.9656
2023-09-12T00:20:55-0700, -89 ft, 2.8776
2023-09-12T00:20:55-0700, -92 ft, 2.8275
2023-09-12T00:20:55-0700, -7 ft, 4.8025
2023-09-12T00:20:55-0700, -10 ft, 4.877
2023-09-12T00:20:55-0700, -13 ft, 4.8829
2023-09-12T00:20:55-0700, -16 ft, 4.8309
2023-09-12T00:20:55-0700, -20 ft, 4.729
2023-09-12T00:20:55-0700, -23 ft, 4.5606
2023-09-12T00:20:55-0700, -26 ft, 4.3734
2023-09-12T00:20:55-0700, -30 ft, 4.2204
2023-09-12T12:20:42-0700, -33 ft, 4.1148
2023-09-12T12:20:42-0700, -36 ft, 4.0218
2023-09-12T12:20:42-0700, -39 ft, 3.9285
2023-09-12T12:20:42-0700, -43 ft, 3.8208
2023-09-12T12:20:42-0700, -46 ft, 3.7149
2023-09-12T12:20:42-0700, -49 ft, 3.6225
2023-09-12T12:20:42-0700, -52 ft, 3.5489
2023-09-12T12:20:42-0700, -56 ft, 3.4865
2023-09-12T12:20:42-0700, -59 ft, 3.4361
2023-09-12T12:20:42-0700, -62 ft, 3.4061
2023-09-12T12:20:42-0700, -3 ft, 4.6544
2023-09-12T12:20:42-0700, -66 ft, 3.3796
2023-09-12T12:20:42-0700, -7 ft, 4.7206
2023-09-12T12:20:42-0700, -10 ft, 4.7868
2023-09-12T12:20:42-0700, -13 ft, 4.8031
2023-09-12T12:20:42-0700, -16 ft, 4.7483
2023-09-12T12:20:42-0700, -20 ft, 4.6472
2023-09-12T12:20:42-0700, -23 ft, 4.5113
2023-09-12T12:20:42-0700, -26 ft, 4.3653
2023-09-12T12:20:42-0700, -30 ft, 4.2283
2023-09-13T00:20:53-0700, -33 ft, 3.9726
