Date and Time, Depth (Ft), Oxygen Conc. (mg/L)
2023-09-14T12:16:48-0700, -36 ft, 9.383
2023-09-14T12:16:48-0700, -39 ft, 8.7208
2023-09-14T12:16:48-0700, -43 ft, 8.24
2023-09-14T12:16:48-0700, -46 ft, 8.0275
2023-09-14T12:16:48-0700, -49 ft, 7.9121
2023-09-14T12:16:48-0700, -52 ft, 7.4012
2023-09-14T12:16:48-0700, -56 ft, 6.8978
2023-09-14T12:16:48-0700, -59 ft, 6.5699
2023-09-14T12:16:48-0700, -62 ft, 6.3517
2023-09-14T12:16:48-0700, -3 ft, 9.4271
2023-09-14T12:16:48-0700, -66 ft, 6.1497
2023-09-14T12:16:48-0700, -69 ft, 6.024
2023-09-14T12:16:48-0700, -72 ft, 5.9364
2023-09-14T12:16:48-0700, -75 ft, 5.7655
2023-09-14T12:16:48-0700, -79 ft, 5.5909
2023-09-14T12:16:48-0700, -82 ft, 5.4583
2023-09-14T12:16:48-0700, -85 ft, 5.3063
2023-09-14T12:16:48-0700, -89 ft, 5.1597
2023-09-14T12:16:48-0700, -92 ft, 4.981
2023-09-14T12:16:48-0700, -7 ft, 9.5696
2023-09-14T12:16:48-0700, -10 ft, 9.7121
2023-09-14T12:16:48-0700, -13 ft, 9.8619
2023-09-14T12:16:48-0700, -16 ft, 10.1655
2023-09-14T12:16:48-0700, -20 ft, 10.3682
2023-09-14T12:16:48-0700, -23 ft, 10.5223
2023-09-14T12:16:48-0700, -26 ft, 10.4604
2023-09-14T12:16:48-0700, -30 ft, 10.3382
2023-09-15T12:16:48-0700, -33 ft, 10.0654
2023-09-15T12:16:48-0700, -36 ft, 9.9393
2023-09-15T12:16:48-0700, -39 ft, 9.4416
2023-09-15T12:16:48-0700, -43 ft, 8.962
2023-09-15T12:16:48-0700, -46 ft, 7.9969
2023-09-15T12:16:48-0700, -49 ft, 7.1876
2023-09-15T12:16:48-0700, -52 ft, 6.7234
2023-09-15T12:16:48-0700, -56 ft, 6.428
2023-09-15T12:16:48-0700, -59 ft, 6.1126
2023-09-15T12:16:48-0700, -62 ft, 5.8209
2023-09-15T12:16:48-0700, -3 ft, 10.5535
2023-09-15T12:16:48-0700, -66 ft, 5.6211
2023-09-15T12:16:48-0700, -69 ft, 5.5401
2023-09-15T12:16:48-0700, -72 ft, 5.53
2023-09-15T12:16:48-0700, -75 ft, 5.5005
2023-09-15T12:16:48-0700, -79 ft, 5.4419
2023-09-15T12:16:48-0700, -82 ft, 5.3647
2023-09-15T12:16:48-0700, -85 ft, 5.2026
2023-09-15T12:16:48-0700, -89 ft, 5.0225
2023-09-15T12:16:48-0700, -92 ft, 4.8935
2023-09-15T12:16:48-0700, -7 ft, 10.1906
2023-09-15T12:16:48-0700, -10 ft, 9.9152
2023-09-15T12:16:48-0700, -13 ft, 10.0371
2023-09-15T12:16:48-0700, -16 ft, 10.3702
2023-09-15T12:16:48-0700, -20 ft, 10.6069
2023-09-15T12:16:48-0700, -23 ft, 10.6477
2023-09-15T12:16:48-0700, -26 ft, 10.5317
2023-09-15T12:16:48-0700, -30 ft, 10.1836
2023-09-16T12:16:51-0700, -33 ft, 10.5664
2023-09-16T12:16:51-0700, -36 ft, 10.4583
2023-09-16T12:16:51-0700, -39 ft, 9.9073
2023-09-16T12:16:51-0700, -43 ft, 9.1605
2023-09-16T12:16:51-0700, -46 ft, 8.4244
2023-09-16T12:16:51-0700, -49 ft, 7.8573
2023-09-16T12:16:51-0700, -52 ft, 7.5605
2023-09-16T12:16:51-0700, -56 ft, 7.3196
2023-09-16T12:16:51-0700, -59 ft, 6.9502
2023-09-16T12:16:51-0700, -62 ft, 6.6375
2023-09-16T12:16:51-0700, -3 ft, 8.6934
2023-09-16T12:16:51-0700, -66 ft, 6.4539
2023-09-16T12:16:51-0700, -69 ft, 6.3089
2023-09-16T12:16:51-0700, -72 ft, 6.0864
2023-09-16T12:16:51-0700, -75 ft, 5.8798
2023-09-16T12:16:51-0700, -79 ft, 5.7025
2023-09-16T12:16:51-0700, -82 ft, 5.5373
2023-09-16T12:16:51-0700, -85 ft, 5.3977
2023-09-16T12:16:51-0700, -89 ft, 5.2618
2023-09-16T12:16:51-0700, -92 ft, 5.1504
2023-09-16T12:16:51-0700, -7 ft, 8.5783
2023-09-16T12:16:51-0700, -10 ft, 8.4691
2023-09-16T12:16:51-0700, -13 ft, 8.5249
2023-09-16T12:16:51-0700, -16 ft, 8.8138
2023-09-16T12:16:51-0700, -20 ft, 9.3131
2023-09-16T12:16:51-0700, -23 ft, 9.9369
2023-09-16T12:16:51-0700, -26 ft, 10.3242
2023-09-16T12:16:51-0700, -30 ft, 10.4845
2023-09-17T12:16:53-0700, -33 ft, 10.0798
2023-09-17T12:16:53-0700, -36 ft, 9.963
2023-09-17T12:16:53-0700, -39 ft, 9.8963
2023-09-17T12:16:53-0700, -43 ft, 9.6033
2023-09-17T12:16:53-0700, -46 ft, 9.2349
2023-09-17T12:16:53-0700, -49 ft, 8.8944
2023-09-17T12:16:53-0700, -52 ft, 8.5435
2023-09-17T12:16:53-0700, -56 ft, 8.1727
2023-09-17T12:16:53-0700, -59 ft, 7.5728
2023-09-17T12:16:53-0700, -62 ft, 7.0578
2023-09-17T12:16:53-0700, -3 ft, 8.4731
2023-09-17T12:16:53-0700, -66 ft, 6.7437
2023-09-17T12:16:53-0700, -69 ft, 6.5768
2023-09-17T12:16:53-0700, -72 ft, 6.4595
2023-09-17T12:16:53-0700, -75 ft, 6.341
2023-09-17T12:16:53-0700, -79 ft, 6.1986
2023-09-17T12:16:53-0700, -82 ft, 6.0153
2023-09-17T12:16:53-0700, -85 ft, 5.8861
2023-09-17T12:16:53-0700, -89 ft, 5.8165
2023-09-17T12:16:53-0700, -92 ft, 5.7222
2023-09-17T12:16:53-0700, -7 ft, 8.4956
2023-09-17T12:16:53-0700, -10 ft, 8.5182
2023-09-17T12:16:53-0700, -13 ft, 8.8803
2023-09-17T12:16:53-0700, -16 ft, 9.474
2023-09-17T12:16:53-0700, -20 ft, 10.0101
2023-09-17T12:16:53-0700, -23 ft, 10.3977
2023-09-17T12:16:53-0700, -26 ft, 10.4682
2023-09-17T12:16:53-0700, -30 ft, 10.2984
2023-09-18T12:17:02-0700, -33 ft, 10.4397
2023-09-18T12:17:02-0700, -36 ft, 10.092
2023-09-18T12:17:02-0700, -39 ft, 9.9371
2023-09-18T12:17:02-0700, -43 ft, 9.4938
2023-09-18T12:17:02-0700, -46 ft, 8.9477
2023-09-18T12:17:02-0700, -49 ft, 8.1431
2023-09-18T12:17:02-0700, -52 ft, 7.3808
2023-09-18T12:17:02-0700, -56 ft, 6.9518
2023-09-18T12:17:02-0700, -59 ft, 6.622
2023-09-18T12:17:02-0700, -62 ft, 6.3783
2023-09-18T12:17:02-0700, -3 ft, 8.3978
2023-09-18T12:17:02-0700, -66 ft, 6.1893
2023-09-18T12:17:02-0700, -69 ft, 5.9604
2023-09-18T12:17:02-0700, -72 ft, 5.6962
2023-09-18T12:17:02-0700, -75 ft, 5.457
2023-09-18T12:17:02-0700, -79 ft, 5.3397
2023-09-18T12:17:02-0700, -82 ft, 5.2565
2023-09-18T12:17:02-0700, -85 ft, 5.1606
2023-09-18T12:17:02-0700, -89 ft, 5.0492
2023-09-18T12:17:02-0700, -92 ft, 4.97
